Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/calc/divide/15/10,1,0,1.9371670205146074,1.9371670205146074,1.9371670205146074,1.9371670205146074,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/16/1,1,0,3.9608549559488893,3.9608549559488893,3.9608549559488893,3.9608549559488893,4.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/18/99,1,0,4.111516987904906,4.111516987904906,4.111516987904906,4.111516987904906,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/2/59,1,0,3.1504459911957383,3.1504459911957383,3.1504459911957383,3.1504459911957383,3.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/divide/2/82,1,0,5.268646986223757,5.268646986223757,5.268646986223757,5.268646986223757,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/20/79,1,0,1.8501599552109838,1.8501599552109838,1.8501599552109838,1.8501599552109838,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/20/92,1,0,2.1537489956244826,2.1537489956244826,2.1537489956244826,2.1537489956244826,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/23/39,1,0,5.002348043490201,5.002348043490201,5.002348043490201,5.002348043490201,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/25/79,1,0,1.3741010334342718,1.3741010334342718,1.3741010334342718,1.3741010334342718,3.0,0.01700118243692746,0.0,1,1,1,1,1,1,1,1,1,1,1
GET,/calc/divide/26/64,1,0,4.752399981953204,4.752399981953204,4.752399981953204,4.752399981953204,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/3/18,1,0,4.8604910261929035,4.8604910261929035,4.8604910261929035,4.8604910261929035,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/3/84,1,0,3.989951976109296,3.989951976109296,3.989951976109296,3.989951976109296,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/30/59,1,0,4.05770301586017,4.05770301586017,4.05770301586017,4.05770301586017,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/31/68,1,0,2.1867890027351677,2.1867890027351677,2.1867890027351677,2.1867890027351677,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/34/54,1,0,2.262170019093901,2.262170019093901,2.262170019093901,2.262170019093901,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/35/96,1,0,3.8752909749746323,3.8752909749746323,3.8752909749746323,3.8752909749746323,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/36/54,1,0,4.6583039802499115,4.6583039802499115,4.6583039802499115,4.6583039802499115,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/39/23,1,0,5.37562498357147,5.37562498357147,5.37562498357147,5.37562498357147,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/45/74,1,0,4.176654038019478,4.176654038019478,4.176654038019478,4.176654038019478,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/46/75,1,0,2.368813962675631,2.368813962675631,2.368813962675631,2.368813962675631,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/48/16,1,0,3.9352919557131827,3.9352919557131827,3.9352919557131827,3.9352919557131827,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/50/37,1,0,4.577751969918609,4.577751969918609,4.577751969918609,4.577751969918609,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/51/67,1,0,1.8289069994352758,1.8289069994352758,1.8289069994352758,1.8289069994352758,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/52/20,1,0,5.300725984852761,5.300725984852761,5.300725984852761,5.300725984852761,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/54/16,1,0,4.284420982003212,4.284420982003212,4.284420982003212,4.284420982003212,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/54/73,1,0,4.743441008031368,4.743441008031368,4.743441008031368,4.743441008031368,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/57/90,1,0,4.467270977329463,4.467270977329463,4.467270977329463,4.467270977329463,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/58/29,1,0,1.9989630091004074,1.9989630091004074,1.9989630091004074,1.9989630091004074,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/58/51,1,0,6.110223999712616,6.110223999712616,6.110223999712616,6.110223999712616,3.0,0.01700118243692746,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/calc/divide/59/42,1,0,5.089430953375995,5.089430953375995,5.089430953375995,5.089430953375995,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/59/52,1,0,4.066139983478934,4.066139983478934,4.066139983478934,4.066139983478934,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/62/48,1,0,4.85326797934249,4.85326797934249,4.85326797934249,4.85326797934249,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/66/4,1,0,2.1375560318119824,2.1375560318119824,2.1375560318119824,2.1375560318119824,4.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/7/66,1,0,1.9959910423494875,1.9959910423494875,1.9959910423494875,1.9959910423494875,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/73/63,1,0,4.651988041587174,4.651988041587174,4.651988041587174,4.651988041587174,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/75/15,1,0,2.0463610417209566,2.0463610417209566,2.0463610417209566,2.0463610417209566,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/75/46,1,0,3.410654026083648,3.410654026083648,3.410654026083648,3.410654026083648,3.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/divide/75/86,1,0,4.088794987183064,4.088794987183064,4.088794987183064,4.088794987183064,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/76/84,1,0,2.627523965202272,2.627523965202272,2.627523965202272,2.627523965202272,3.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/divide/78/23,1,0,2.1905709872953594,2.1905709872953594,2.1905709872953594,2.1905709872953594,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/79/17,1,0,7.613231951836497,7.613231951836497,7.613231951836497,7.613231951836497,3.0,0.01700118243692746,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/calc/divide/83/6,1,0,2.8392740059643984,2.8392740059643984,2.8392740059643984,2.8392740059643984,4.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/divide/83/82,1,0,4.874553997069597,4.874553997069597,4.874553997069597,4.874553997069597,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/84/33,1,0,3.757525992114097,3.757525992114097,3.757525992114097,3.757525992114097,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/84/56,1,0,1.8950540106743574,1.8950540106743574,1.8950540106743574,1.8950540106743574,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/86/25,1,0,2.14381399564445,2.14381399564445,2.14381399564445,2.14381399564445,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/88/1,1,0,2.402373997028917,2.402373997028917,2.402373997028917,2.402373997028917,4.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/divide/9/63,1,0,4.397128010168672,4.397128010168672,4.397128010168672,4.397128010168672,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/9/84,1,0,2.5590849691070616,2.5590849691070616,2.5590849691070616,2.5590849691070616,3.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/divide/94/10,1,0,3.879489959217608,3.879489959217608,3.879489959217608,3.879489959217608,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/95/61,1,0,4.307138035073876,4.307138035073876,4.307138035073876,4.307138035073876,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/multiply/100/87,1,0,1.9298219704069197,1.9298219704069197,1.9298219704069197,1.9298219704069197,4.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/multiply/11/7,1,0,5.280051962472498,5.280051962472498,5.280051962472498,5.280051962472498,2.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/multiply/13/43,1,0,3.2353190472349524,3.2353190472349524,3.2353190472349524,3.2353190472349524,3.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/multiply/18/84,1,0,2.291882992722094,2.291882992722094,2.291882992722094,2.291882992722094,4.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/multiply/19/100,1,0,3.770882962271571,3.770882962271571,3.770882962271571,3.770882962271571,4.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/multiply/2/54,1,0,3.993528021965176,3.993528021965176,3.993528021965176,3.993528021965176,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/multiply/21/77,1,0,4.014223988633603,4.014223988633603,4.014223988633603,4.014223988633603,4.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/multiply/22/25,1,0,4.632251046132296,4.632251046132296,4.632251046132296,4.632251046132296,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/multiply/3/99,1,0,1.7836429760791361,1.7836429760791361,1.7836429760791361,1.7836429760791361,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/multiply/32/24,1,0,2.4701370275579393,2.4701370275579393,2.4701370275579393,2.4701370275579393,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/multiply/33/29,1,0,2.685718995053321,2.685718995053321,2.685718995053321,2.685718995053321,3.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/multiply/4/31,1,0,4.756890994030982,4.756890994030982,4.756890994030982,4.756890994030982,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/multiply/43/50,1,0,4.902429005596787,4.902429005596787,4.902429005596787,4.902429005596787,4.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/multiply/47/49,1,0,4.041192994918674,4.041192994918674,4.041192994918674,4.041192994918674,4.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/multiply/54/3,1,0,4.569782002363354,4.569782002363354,4.569782002363354,4.569782002363354,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/multiply/56/37,1,0,2.0070759928785264,2.0070759928785264,2.0070759928785264,2.0070759928785264,4.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/multiply/59/35,1,0,3.1167359557002783,3.1167359557002783,3.1167359557002783,3.1167359557002783,4.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/multiply/6/67,1,0,5.18271402688697,5.18271402688697,5.18271402688697,5.18271402688697,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/multiply/6/68,1,0,4.541484988294542,4.541484988294542,4.541484988294542,4.541484988294542,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/multiply/61/74,1,0,2.2888120147399604,2.2888120147399604,2.2888120147399604,2.2888120147399604,4.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/multiply/61/83,1,0,2.4897740222513676,2.4897740222513676,2.4897740222513676,2.4897740222513676,4.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/multiply/62/84,1,0,3.409650002140552,3.409650002140552,3.409650002140552,3.409650002140552,4.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/multiply/64/30,1,0,4.752256965730339,4.752256965730339,4.752256965730339,4.752256965730339,4.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/multiply/64/53,1,0,4.248708952218294,4.248708952218294,4.248708952218294,4.248708952218294,4.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/multiply/66/72,1,0,2.432820969261229,2.432820969261229,2.432820969261229,2.432820969261229,4.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/multiply/76/42,1,0,3.844907972961664,3.844907972961664,3.844907972961664,3.844907972961664,4.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/multiply/79/16,1,0,2.4658720358274877,2.4658720358274877,2.4658720358274877,2.4658720358274877,4.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/multiply/79/23,1,0,2.3996980162337422,2.3996980162337422,2.3996980162337422,2.3996980162337422,4.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/multiply/80/46,1,0,3.1874789856374264,3.1874789856374264,3.1874789856374264,3.1874789856374264,4.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/multiply/82/18,1,0,3.0089360079728067,3.0089360079728067,3.0089360079728067,3.0089360079728067,4.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/multiply/88/1,1,0,3.179303021170199,3.179303021170199,3.179303021170199,3.179303021170199,2.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/multiply/93/68,1,0,4.854389000684023,4.854389000684023,4.854389000684023,4.854389000684023,4.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/multiply/93/74,1,0,3.8947450229898095,3.8947450229898095,3.8947450229898095,3.8947450229898095,4.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/multiply/94/48,1,0,2.430583001114428,2.430583001114428,2.430583001114428,2.430583001114428,4.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/multiply/96/81,1,0,4.812422033865005,4.812422033865005,4.812422033865005,4.812422033865005,4.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/multiply/97/91,1,0,3.9693249855190516,3.9693249855190516,3.9693249855190516,3.9693249855190516,4.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/substract/10/33,1,0,3.3865129807963967,3.3865129807963967,3.3865129807963967,3.3865129807963967,3.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/substract/10/69,1,0,2.7554869884625077,2.7554869884625077,2.7554869884625077,2.7554869884625077,3.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/substract/100/13,1,0,4.66174102621153,4.66174102621153,4.66174102621153,4.66174102621153,2.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/substract/100/19,1,0,3.0470979982055724,3.0470979982055724,3.0470979982055724,3.0470979982055724,2.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/substract/14/92,1,0,2.276411047205329,2.276411047205329,2.276411047205329,2.276411047205329,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/substract/15/49,1,0,4.1184809524565935,4.1184809524565935,4.1184809524565935,4.1184809524565935,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/substract/15/67,1,0,3.328185004647821,3.328185004647821,3.328185004647821,3.328185004647821,3.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/substract/16/21,1,0,1.8458440317772329,1.8458440317772329,1.8458440317772329,1.8458440317772329,2.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/substract/16/38,1,0,1.7962030251510441,1.7962030251510441,1.7962030251510441,1.7962030251510441,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/substract/19/47,1,0,1.860122021753341,1.860122021753341,1.860122021753341,1.860122021753341,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/substract/2/78,1,0,4.511168983299285,4.511168983299285,4.511168983299285,4.511168983299285,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/substract/24/28,1,0,3.649252001196146,3.649252001196146,3.649252001196146,3.649252001196146,2.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/substract/26/3,1,0,4.404162988066673,4.404162988066673,4.404162988066673,4.404162988066673,2.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/substract/30/25,1,0,4.284080991055816,4.284080991055816,4.284080991055816,4.284080991055816,1.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/substract/34/58,1,0,2.0330979605205357,2.0330979605205357,2.0330979605205357,2.0330979605205357,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
